Split,Model,ROC_AUC,PR_AUC,Pos_rate,thr_amber,thr_red,VAL_precision@red,VAL_recall@red,TEST_precision@red,TEST_recall@red,VAL_precision@amber,VAL_recall@amber,TEST_precision@amber,TEST_recall@amber
VAL,Logistic Regression,0.6775686013304327,0.022178821850924683,0.007897995381680666,,,,,,,,,,
VAL,Random Forest,0.6446749101657753,0.021848622995342917,0.007897995381680666,,,,,,,,,,
TEST,"FINAL (Random Forest, retrained on train+val)",0.7497850100471934,0.033230490781518386,,0.16326219395456978,0.7068554422150115,0.2,0.00847457627118644,0.06698564593301436,0.058823529411764705,0.011530478899223614,0.635593220338983,0.008606963033093773,0.8403361344537815
